chirp_mass mass_ratio distance phi ra dec
97.76141 0.22384855 2522.3 0.17995262 0.17995262 -1.0407737
92.53037 0.28094715 1982.53 3.3440151 3.3440151 0.505128
82.14961 0.34327212 1927.3575 0.05885887 0.05885887 -1.1406639
93.10784 0.33208343 2458.068 6.2053256 6.2053256 -1.1560962
98.17417 0.35820436 2334.066 5.9084506 5.9084506 -0.58805746
95.27958 0.26755482 1842.1676 3.8635464 3.8635464 1.0260864
84.08371 0.24556848 2515.4128 3.5940151 3.5940151 0.66456574
63.727234 0.13127539 1132.4326 0.0041713715 0.0041713715 -1.0896151
96.03979 0.26433212 1544.7568 3.9299526 3.9299526 0.98835653
87.03179 0.19046286 1742.8774 3.6135464 3.6135464 0.7294087
99.86459 0.18909106 1716.831 4.2697964 4.2697964 0.82792544
94.85448 0.358656 1830.3528 6.150638 6.150638 -0.805959
89.982666 0.25556695 1952.804 5.865482 5.865482 -0.55537397
92.4505 0.14235094 2195.368 4.308859 4.308859 0.76956886
84.95199 0.15908492 2053.6328 3.7854214 3.7854214 0.9666547
58.350243 0.1378746 944.00366 6.271732 6.271732 -0.86690044
55.415348 0.14480719 894.48267 4.0354214 4.0354214 0.93514633
83.356995 0.29143837 1962.6516 5.990482 5.990482 -0.7160872
90.973434 0.39846277 2302.5557 0.22682762 0.22682762 -1.123635
87.176704 0.14415419 2827.7622 3.1408901 3.1408901 0.30709675
96.46683 0.265199 2383.4875 6.1740756 6.1740756 -0.8299291
71.81838 0.13095787 1510.2256 3.9455776 3.9455776 0.93769526
97.33119 0.4113813 2445.1477 0.08620262 0.08620262 -1.1475527
93.89615 0.28808782 1981.7456 0.06667137 0.06667137 -1.1268508
89.43686 0.16943395 2327.5576 3.4533901 3.4533901 0.59741586
57.89677 0.16185859 1032.7656 4.2072964 4.2072964 0.90023506
95.85625 0.18636265 1144.5673 4.511984 4.511984 0.78465086
84.05134 0.34489703 2536.242 3.1526089 3.1526089 0.42215306
85.874146 0.21161169 2088.1462 4.043234 4.043234 0.8359796
89.572586 0.3370158 1367.8862 4.42214 4.42214 0.684903
91.09972 0.28699923 1906.6715 4.3205776 4.3205776 0.72543967
55.835575 0.1854178 1130.5862 3.2463589 3.2463589 0.35723504
90.853615 0.28149348 2443.3965 6.2482944 6.2482944 -1.1664368
98.41167 0.23548576 1766.8787 1.3049526 1.3049526 -1.1731974
97.56634 0.25445923 1851.2976 4.26589 4.26589 0.86038584
97.35261 0.20823151 2774.728 3.5471401 3.5471401 0.65847874
75.91409 0.27506498 2187.3184 6.135013 6.135013 -0.8928282
93.46039 0.36092645 2558.4546 3.9143276 3.9143276 0.9568718
76.30819 0.24973992 2147.0576 0.22292137 0.22292137 -1.1411943
76.24559 0.20469803 1718.5151 3.9651089 3.9651089 0.8082139
65.930824 0.24258438 1395.7787 6.150638 6.150638 -0.827955
99.11223 0.21890995 2281.0112 3.9651089 3.9651089 0.9472408
84.805626 0.23429346 1484.082 4.340109 4.340109 0.7626991
75.260086 0.20323196 1609.4628 4.340109 4.340109 0.8239707
85.88878 0.3710745 2268.7646 3.9846401 3.9846401 0.9474943
